,0
2018-02-01,1355105.0
2018-03-01,1344968.0
2018-04-01,1355101.0
2018-05-01,1362364.0
2018-06-01,1343214.0
2018-07-01,1336631.0
2018-08-01,1340449.0
2018-09-01,1326111.0
2018-10-01,1310946.0
2018-11-01,1300694.0
2018-12-01,1289930.0
2019-01-01,1296049.0
2019-02-01,1312040.0
2019-03-01,1322532.0
2019-04-01,1353657.0
2019-05-01,1364421.0
2019-06-01,1383309.0
2019-07-01,1410749.0
2019-08-01,1426091.0
2019-09-01,1438119.0
2019-10-01,1442150.0
2019-11-01,1463036.0
2019-12-01,1466415.0
2020-01-01,1494117.0
2020-02-01,1501790.0
2020-03-01,1506335.0
2020-04-01,1460471.0
2020-05-01,1452086.0
2020-06-01,1459188.0
2020-07-01,1470971.0
2020-08-01,1489640.0
2020-09-01,1510182.0
2020-10-01,1534900.0
2020-11-01,1550976.0
2020-12-01,1572760.0
2021-01-01,1606561.0
2021-02-01,1585044.0
2021-03-01,1613045.0
2021-04-01,1615638.0
2021-05-01,1628281.0
2021-06-01,1639779.0
2021-07-01,1658346.0
2021-08-01,1666756.0
2021-09-01,1667332.0
2021-10-01,1685243.0
2021-11-01,1726586.0
2021-12-01,1754426.0
2022-01-01,1796460.0
2022-02-01,1823728.0
2022-03-01,1849637.0
2022-04-01,1882753.0
2022-05-01,1880896.0
2022-06-01,1873184.0
2022-07-01,1869262.0
2022-08-01,1847285.0
2022-09-01,1836930.0
2022-10-01,1830477.0
2022-11-01,1842206.0
2022-12-01,1840896.0
2023-01-01,1882199.0
2023-02-01,1889562.0
2023-03-01,1901401.0
2023-04-01,1907837.0
2023-05-01,1946733.0
2023-06-01,1956226.0
2023-07-01,1969005.0
2023-08-01,2010143.0
2023-09-01,2017510.0
2023-10-01,2058903.0
2023-11-01,2082923.0
2023-12-01,2101042.0
2024-01-01,2096922.0
2024-02-01,2091511.0
